Fish,Scan,Scanner,Scan date,Voxelsize [μm],Source voltage [kV],Source current [μA],Filter,Exposure time [ms],Frame averaging,360° scan,Rotation step [°],Projection size,Scan duration [s],Stacked scans,Total scan duration [s],Ring removal correction,Beam hardening correction,Gray value mapping
05975_Labrochromis_Kissenda,head.rec,SkyScan 2214,2023-04-27 11:57:50,24.999263,60.0,140.0,False,765,,False,0.1,"(2457, 1944)",6919.0,1,6919.0,,,0.127232
05975_Labrochromis_Kissenda,rec_oj,SkyScan 2214,2023-04-27 14:48:33,11.999389,60.0,140.0,False,765,,False,0.1,"(2457, 1944)",6523.0,1,6523.0,,,0.156926
05975_Labrochromis_Kissenda,rec_oj_2,SkyScan 2214,2023-06-05 11:55:12,11.999389,60.0,200.0,False,727,,False,0.1,"(3072, 1944)",6642.0,1,6642.0,,,0.165763
05975_Labrochromis_Kissenda,rec_pj,SkyScan 2214,2023-04-27 16:57:38,11.999389,60.0,140.0,False,765,,False,0.1,"(2457, 1944)",6376.0,1,6376.0,,,0.086778
05975_Labrochromis_Kissenda,rec_pj_2,SkyScan 2214,2023-06-05 13:45:57,11.999389,60.0,200.0,False,727,,False,0.1,"(3072, 1944)",6175.0,1,6175.0,,,0.081965
10151_Pundamilia_macrocephala_macrocephala,head.rec,SkyScan 2214,2022-04-14 12:01:07,21.999992,70.0,140.0,False,790,,False,0.1,"(3072, 1944)",6642.0,1,6642.0,,,0.107354
10151_Pundamilia_macrocephala_macrocephala,rec,SkyScan 2214,2021-08-27 10:59:28,9.000117,70.0,140.0,False,909,,False,0.2,"(3072, 1944)",3568.0,1,3568.0,,,0.111613
10151_Pundamilia_macrocephala_macrocephala,rec_oj,SkyScan 2214,2022-04-14 13:53:51,9.000117,70.0,140.0,False,790,,False,0.1,"(3072, 1944)",6478.0,1,6478.0,,,0.163963
10151_Pundamilia_macrocephala_macrocephala,rec_pj,SkyScan 2214,2022-04-14 16:09:29,9.000117,70.0,140.0,False,790,,False,0.1,"(3072, 1944)",6482.0,1,6482.0,,,0.075934
103375_Harpagochromis_cavifrons,head.rec,SkyScan 2214,2022-02-28 12:10:58,34.999138,70.0,140.0,False,850,,False,0.2,"(1536, 972)",2739.0,1,2739.0,,,0.072119
103375_Harpagochromis_cavifrons,rec,SkyScan 2214,2021-03-26 12:59:33,13.120329,70.0,125.0,False,750,,False,0.2,"(3070, 1944)",3216.0,1,3216.0,,,0.046591
103571_Astatoreochromis_alluaudi,head.rec,SkyScan 2214,2021-12-15 14:50:38,29.000594,70.0,140.0,False,612,,False,0.2,"(1536, 972)",2085.0,1,2085.0,,,0.095463
103571_Astatoreochromis_alluaudi,rec,SkyScan 2214,2021-04-12 14:37:40,11.92668,70.0,125.0,False,908,,False,0.2,"(3070, 1944)",3586.0,1,3586.0,,,0.091682
103634_Astatotilapia_nubila_swamp_blue,rec,SkyScan 1272,2021-11-18 15:10:04,4.000007,60.0,166.0,Al 0.25mm,1981,3.0,False,0.1,"(4904, 3280)",19167.0,1,19167.0,13.0,,0.305694
103635_Astatotilapia_nubila_swamp_blue,head.rec,SkyScan 2214,2022-01-25 12:33:31,15.500842,70.0,138.0,False,740,,False,0.2,"(1536, 972)",2353.0,1,2353.0,,,0.117524
103635_Astatotilapia_nubila_swamp_blue,jaw.rec,SkyScan 1272,2021-02-08 12:25:19,5.000014,60.0,166.0,Al 0.25mm,1500,3.0,False,0.2,"(2452, 1640)",7030.0,1,7030.0,14.0,10.0,0.260728
103635_Astatotilapia_nubila_swamp_blue,pharynx.rec,SkyScan 1272,2021-02-08 14:24:12,5.000014,60.0,166.0,Al 0.25mm,1500,3.0,False,0.2,"(2452, 1640)",7021.0,1,7021.0,14.0,10.0,0.215369
103637_Astatotilapia_nubila_swamp_blue,rec,SkyScan 1272,2021-11-23 14:29:55,3.499972,60.0,166.0,Al 0.25mm,1981,3.0,False,0.1,"(4904, 3280)",19296.0,1,19296.0,13.0,,0.322794
103641_Astatotilapia_nubila_swamp_red,rec,SkyScan 1272,2021-11-15 20:42:25,4.000007,60.0,166.0,Al 0.25mm,1981,3.0,False,0.1,"(4904, 3280)",18926.0,1,18926.0,13.0,,0.271679
103658_Astatotilapia_nubila_swamp_red,rec,SkyScan 2214,2021-04-23 10:36:23,8.34876,80.0,125.0,False,1111,,False,0.2,"(3070, 1944)",4010.0,1,4010.0,,,0.16049
103704_Enterochromis_I_paropius,head.rec,SkyScan 2214,2021-10-29 13:10:16,17.500356,70.0,140.0,False,648,,False,0.2,"(1536, 972)",2047.0,1,2047.0,,,0.087737
103704_Enterochromis_I_paropius,rec,SkyScan 2214,2021-10-29 11:02:18,10.735332,70.0,140.0,False,648,,False,0.15,"(1536, 972)",2730.0,1,2730.0,,,0.114614
103718_Enterochromis_I_paropius,head.rec,SkyScan 2214,2021-10-26 09:48:44,15.001691,65.0,140.0,False,706,,False,0.2,"(3072, 1944)",3076.0,1,3076.0,,,0.099562
103718_Enterochromis_I_paropius,rec,SkyScan 2214,2021-10-26 10:59:24,5.12833,65.0,140.0,False,706,,False,0.15,"(3072, 1944)",4165.0,1,4165.0,,,0.192249
103720_Enterochromis_I_paropius,rec,SkyScan 1272,2021-11-22 16:52:46,4.000007,60.0,166.0,Al 0.25mm,1981,3.0,False,0.1,"(4904, 3280)",19780.0,1,19780.0,13.0,,0.348526
103723_Enterochromis_II_coprologus_F_blue_morph,head.rec,SkyScan 2214,2022-03-17 11:02:23,17.999448,70.0,136.0,False,999,,False,0.1,"(3072, 1944)",7449.0,1,7449.0,,,0.102249
103723_Enterochromis_II_coprologus_F_blue_morph,rec,SkyScan 2214,2021-09-03 12:31:42,6.799137,70.0,140.0,False,1101,,False,0.2,"(3072, 1944)",3947.0,1,3947.0,,,0.159657
103723_Enterochromis_II_coprologus_F_blue_morph,rec_oj,SkyScan 2214,2022-03-17 13:33:49,7.156626,70.0,136.0,False,999,,False,0.1,"(3072, 1944)",7437.0,1,7437.0,,,0.156075
103734_Enterochromis_II_coprologus_F_red_dorsum,rec,SkyScan 2214,2021-04-29 10:30:52,7.75345,80.0,125.0,False,850,,False,0.2,"(3070, 1944)",3343.0,1,3343.0,,,0.074869
103754_Yssichromis_core_pyrrhocephalus,head.rec,SkyScan 2214,2022-01-24 13:07:23,11.998662,70.0,137.0,False,612,,False,0.2,"(1536, 972)",2071.0,1,2071.0,,,0.117698
103754_Yssichromis_core_pyrrhocephalus,rec,SkyScan 1272,2020-11-20 06:25:50,5.000018,70.0,142.0,Al 0.5mm,3254,3.0,False,0.1,"(4904, 3280)",28809.0,1,28809.0,14.0,,0.170639
103754_Yssichromis_core_pyrrhocephalus,rec_pj,SkyScan 2214,2022-03-17 15:44:03,5.999331,70.0,140.0,False,999,,False,0.1,"(3072, 1944)",7440.0,1,7440.0,,,0.136063
103754_Yssichromis_core_pyrrhocephalus,rec_pj_2,SkyScan 2214,2022-08-30 17:27:59,5.499452,60.0,140.0,False,1647,,False,0.1,"(3072, 1944)",10342.0,1,10342.0,,,0.128105
103761_Enterochromis_I_coprologus_EF,head.rec,SkyScan 2214,2021-12-16 14:57:46,16.00072,70.0,140.0,False,612,,False,0.2,"(1536, 972)",2108.0,1,2108.0,,,0.09491
103761_Enterochromis_I_coprologus_EF,rec,SkyScan 2214,2021-05-03 10:23:34,7.75345,70.0,125.0,False,1413,,False,0.2,"(3070, 1944)",4621.0,1,4621.0,,,0.10693
103761_Enterochromis_I_coprologus_EF,rec_oj_2,SkyScan 2214,2022-03-16 16:40:39,5.999331,70.0,140.0,False,999,,False,0.1,"(3072, 1944)",7436.0,1,7436.0,,,0.16241
103761_Enterochromis_I_coprologus_EF,rec_oj_3,SkyScan 2214,2022-09-01 12:02:19,6.500724,60.0,140.0,False,1647,,False,0.1,"(3072, 1944)",10913.0,1,10913.0,,,0.177928
103761_Enterochromis_I_coprologus_EF,rec_pj,SkyScan 2214,2022-03-16 19:14:19,5.999331,70.0,140.0,False,999,,False,0.1,"(3072, 1944)",7411.0,1,7411.0,,,0.14866
103761_Enterochromis_I_coprologus_EF,rec_pj_3,SkyScan 2214,2022-09-01 15:08:18,6.500724,60.0,140.0,False,1647,,False,0.1,"(3072, 1944)",10545.0,1,10545.0,,,0.111882
103767_Enterochromis_II_supramacrops_red_tail,head.rec,SkyScan 2214,2022-03-18 12:00:37,11.999389,70.0,138.0,False,999,,False,0.1,"(3072, 1944)",7465.0,1,7465.0,,,0.151278
103767_Enterochromis_II_supramacrops_red_tail,head2.rec,SkyScan 2214,2022-11-04 11:07:40,9.999875,70.0,145.0,False,736,,False,0.1,"(3072, 1944)",6333.0,1,6333.0,,,0.146435
103767_Enterochromis_II_supramacrops_red_tail,rec,SkyScan 2214,2021-04-19 13:32:36,7.156626,70.0,125.0,False,720,,False,0.2,"(3070, 1944)",3152.0,1,3152.0,,,0.076978
103767_Enterochromis_II_supramacrops_red_tail,rec_oj,SkyScan 2214,2022-03-18 14:22:15,5.999331,70.0,132.0,False,999,,False,0.1,"(3072, 1944)",7458.0,1,7458.0,,,0.15
103767_Enterochromis_II_supramacrops_red_tail,rec_oj_2,SkyScan 2214,2022-03-18 17:35:45,7.000603,70.0,132.0,False,999,,False,0.125,"(3072, 1944)",6010.0,1,6010.0,,,0.196689
103767_Enterochromis_II_supramacrops_red_tail,rec_rereconstruct,SkyScan 2214,2021-04-19 13:32:36,7.156626,70.0,125.0,False,720,,False,0.2,"(3070, 1944)",3152.0,1,3152.0,,,0.121472
103778_Yssichromis_cf_supramacrops,head.rec,SkyScan 2214,2022-01-24 10:50:14,11.998662,70.0,115.0,False,612,,False,0.2,"(1536, 972)",2072.0,1,2072.0,,,0.100522
103778_Yssichromis_cf_supramacrops,jaw.rec,SkyScan 1272,2021-02-10 12:49:28,5.000014,60.0,166.0,Al 0.25mm,1500,3.0,False,0.2,"(2452, 1640)",7037.0,1,7037.0,14.0,10.0,0.261067
103778_Yssichromis_cf_supramacrops,pharynx.rec,SkyScan 1272,2021-02-10 14:48:26,5.000014,60.0,166.0,Al 0.25mm,1500,3.0,False,0.2,"(2452, 1640)",7031.0,1,7031.0,14.0,10.0,0.224892
103778_Yssichromis_cf_supramacrops,rec_pj,SkyScan 2214,2022-03-28 11:33:32,6.500724,70.0,140.0,False,587,,False,0.1,"(3072, 1944)",5629.0,1,5629.0,,,0.116813
103908_Enterochromis_I_new_invasive,head.rec,SkyScan 2214,2022-03-14 14:06:20,5.999331,70.0,136.0,False,999,,False,0.1,"(3072, 1944)",7489.0,1,7489.0,,,0.160684
103908_Enterochromis_I_new_invasive,jaw.rec,SkyScan 1272,2020-11-03 12:34:39,5.000014,70.0,142.0,Al 0.5mm,1162,3.0,False,0.2,"(2452, 1640)",5736.0,1,5736.0,7.0,,0.11886
103908_Enterochromis_I_new_invasive,stack.rec,SkyScan 1272,2020-11-13 14:29:52,5.000014,70.0,142.0,Al 0.5mm,1162,3.0,False,0.2,"(2452, 1640)",5747.0,1,5747.0,14.0,,0.238643
103926_Enterochromis_I_new_invasive,rec,SkyScan 1272,2021-11-25 14:58:01,4.000007,60.0,166.0,Al 0.25mm,1783,3.0,False,0.1,"(4904, 3280)",17695.0,1,17695.0,13.0,,0.324195
104016_Enterochromis_I_cinctus_St_E,head.rec,SkyScan 2214,2022-01-27 13:32:59,13.001449,70.0,137.0,False,740,,False,0.2,"(1536, 972)",2359.0,1,2359.0,,,0.16521
104016_Enterochromis_I_cinctus_St_E,jaw.rec,SkyScan 1272,2021-02-04 11:21:23,5.000014,60.0,166.0,Al 0.25mm,1878,2.0,False,0.2,"(2452, 1640)",6666.0,1,6666.0,19.0,,0.249223
